time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-04-08T20:41:13.023Z,38.5072,-118.1252,0,1.46,ml,9,188.76,9.18,,nn,nn00443170,2014-04-08T20:43:15.000Z,"43km E of Hawthorne, Nevada",earthquake
2014-04-08T20:34:35.200Z,38.8308,-122.811,2.1,0.8,Md,,46.8,0.00898315,0.01,nc,nc72196070,2014-04-08T20:36:17.631Z,"7km W of Cobb, California",earthquake
2014-04-08T19:57:09.500Z,35.667,-118.477,11.8,1.4,Ml,14,79.2,0.00898315,0.23,ci,ci15487345,2014-04-08T19:59:37.286Z,"4km SSW of Wofford Heights, California",earthquake
2014-04-08T19:55:43.700Z,31.64,-116.4051667,13.48,3.01,ml,8,190,0.3169,0.06,ci,ci15487337,2014-04-08T20:38:03.492Z,"17km ESE of Maneadero, Mexico",earthquake
2014-04-08T19:48:57.149Z,36.8959,-116.7617,0,0.99,ml,5,187.11,0.186,,nn,nn00443167,2014-04-08T19:50:25.000Z,"1km S of Beatty, Nevada",earthquake
2014-04-08T19:36:11.252Z,38.2389,-118.6038,0,0.86,ml,5,192.19,0.164,,nn,nn00443166,2014-04-08T19:39:55.000Z,"31km S of Hawthorne, Nevada",earthquake
2014-04-08T19:34:18.000Z,63.4566,-147.6159,17.6,1.2,ml,,,,0.46,ak,ak11220074,2014-04-08T19:48:52.869Z,"67km E of Cantwell, Alaska",earthquake
2014-04-08T19:32:44.700Z,37.3323,-118.7397,17.4,1.9,Md,,100.8,0.05389892,0.05,nc,nc72196055,2014-04-08T19:48:02.275Z,"25km W of West Bishop, California",earthquake
2014-04-08T19:27:24.000Z,61.9486,-149.9919,19.3,1.6,ml,,,,0.9,ak,ak11220005,2014-04-08T19:41:49.848Z,"22km N of Willow, Alaska",earthquake
2014-04-08T19:16:36.100Z,35.6715,-118.4663,9.3,1.6,Ml,16,100.8,0.00898315,0.13,ci,ci15487313,2014-04-08T19:18:42.920Z,"4km SSW of Wofford Heights, California",earthquake
2014-04-08T19:14:49.400Z,38.4475,-122.2465,5,1.7,Md,,122.4,0.00898315,0.06,nc,nc72196050,2014-04-08T19:31:05.392Z,"11km ENE of Yountville, California",earthquake
2014-04-08T19:14:43.776Z,38.8367,-117.0635,0,1.75,ml,14,187.4,0.834,,nn,nn00443162,2014-04-08T19:18:00.000Z,"72km S of Austin, Nevada",earthquake
2014-04-08T19:07:37.900Z,35.6695,-118.4692,10.9,2.5,Ml,31,54,0.00898315,0.16,ci,ci15487305,2014-04-08T20:42:24.267Z,"4km SSW of Wofford Heights, California",earthquake
2014-04-08T19:06:19.410Z,35.6708336,-118.463501,9.46,3.06,ml,49,73,0.01175,0.19,ci,ci15487297,2014-04-08T20:38:26.663Z,"4km S of Wofford Heights, California",earthquake
2014-04-08T19:01:05.000Z,60.9753,-147.4363,0.1,1.9,ml,,,,0.97,ak,ak11220001,2014-04-08T19:15:42.383Z,"61km WSW of Valdez, Alaska",earthquake
2014-04-08T18:54:16.400Z,33.9152,-117.944,7.2,2.1,Ml,42,86.4,0.03593261,0.36,ci,ci15487289,2014-04-08T20:05:24.100Z,"1km S of La Habra, California",earthquake
2014-04-08T18:28:13.190Z,-18.5522,-71.7562,19.88,4.1,mwr,,139,1.356,1.2,us,usc000pb7x,2014-04-08T20:14:20.000Z,"110km SSW of Ilo, Peru",earthquake
2014-04-08T18:25:21.000Z,59.5473,-152.7656,2.3,2.1,ml,,,,0.25,ak,ak11219993,2014-04-08T18:42:24.306Z,"58km WSW of Anchor Point, Alaska",earthquake
2014-04-08T18:16:40.000Z,60.5135,-142.7614,0,1.8,ml,,,,0.72,ak,ak11219925,2014-04-08T18:26:53.473Z,"53km NNW of Cape Yakataga, Alaska",earthquake
2014-04-08T18:06:53.200Z,33.9723,-116.8727,19.7,1.1,Ml,19,57.6,0.08084838,0.1,ci,ci15487265,2014-04-08T18:09:26.357Z,"5km N of Banning, California",earthquake
2014-04-08T18:05:45.000Z,63.2505,-151.1044,0,1.3,ml,,,,0.79,ak,ak11219924,2014-04-08T18:18:55.423Z,"109km W of Cantwell, Alaska",earthquake
2014-04-08T17:29:01.900Z,34.3385,-116.8723,0,1.1,Ml,15,108,0.03593261,0.26,ci,ci15487257,2014-04-08T17:31:24.820Z,"8km NNW of Big Bear City, California",earthquake
2014-04-08T17:08:06.000Z,60.5026,-151.9971,34.8,2.3,ml,,,,1.39,ak,ak11219912,2014-04-08T17:21:19.460Z,"40km WNW of Kalifornsky, Alaska",earthquake
2014-04-08T16:43:14.920Z,38.8166656,-122.8008347,0.79,1.12,md,18,67,0.009701,0.03,nc,nc72195985,2014-04-08T17:13:04.998Z,"5km NW of The Geysers, California",earthquake
2014-04-08T16:19:46.900Z,38.8402,-122.8275,2.7,0.6,Md,,57.6,0.00898315,0.01,nc,nc72195960,2014-04-08T16:41:06.604Z,"9km WNW of Cobb, California",earthquake
2014-04-08T16:08:05.900Z,42.9065,-122.09,2,0.2,Md,,230.4,0.05389892,0.04,uw,uw60738566,2014-04-08T16:44:48.530Z,"30km S of Diamond Lake, Oregon",earthquake
2014-04-08T15:54:33.912Z,38.5892,-117.885,0,1.08,ml,9,220.14,0.262,0.1306,nn,nn00443137,2014-04-08T17:11:24.000Z,"31km S of Gabbs, Nevada",earthquake
2014-04-08T15:50:01.120Z,-33.6093,179.3466,29.94,4.8,mb,,136,4.034,0.68,us,usc000pb1f,2014-04-08T17:11:13.599Z,"292km SSW of L'Esperance Rock, New Zealand",earthquake
2014-04-08T15:47:41.000Z,59.7436,-143.0629,3.8,2.1,ml,,,,0.85,ak,ak11219831,2014-04-08T16:01:33.353Z,"50km SW of Cape Yakataga, Alaska",earthquake
2014-04-08T15:37:07.000Z,63.294,-150.9893,0.1,1.9,ml,,,,0.71,ak,ak11219826,2014-04-08T15:52:51.315Z,"102km W of Cantwell, Alaska",earthquake
2014-04-08T15:32:14.000Z,62.8457,-150.6926,67,1.6,ml,,,,0.86,ak,ak11219824,2014-04-08T15:44:14.409Z,"65km NNW of Talkeetna, Alaska",earthquake
2014-04-08T15:24:53.000Z,62.0803,-146.8817,23.9,1.5,ml,,,,0.27,ak,ak11219772,2014-04-08T15:35:48.936Z,"69km W of Glennallen, Alaska",earthquake
2014-04-08T15:24:13.000Z,60.5392,-142.73,3.7,2.7,ml,,,,0.7,ak,ak11219767,2014-04-08T15:36:26.212Z,"55km NNW of Cape Yakataga, Alaska",earthquake
2014-04-08T15:20:19.000Z,61.4638,-151.3704,35.5,2.1,ml,,,,2.74,ak,ak11219764,2014-04-08T15:35:50.198Z,"75km W of Big Lake, Alaska",earthquake
2014-04-08T15:19:19.500Z,33.2787,-116.828,8.2,1,Ml,20,97.2,0.08084838,0.12,ci,ci15487233,2014-04-08T15:22:10.341Z,"18km S of Aguanga, California",earthquake
2014-04-08T15:07:55.300Z,46.4252,-122.2063,14.4,0,Md,,176.4,0.03593261,0.15,uw,uw60738541,2014-04-08T16:07:42.660Z,"15km SSE of Morton, Washington",earthquake
2014-04-08T15:02:08.060Z,36.2677,141.8763,28.09,4.9,mb,,117,2.971,0.75,us,usc000pax5,2014-04-08T16:55:24.674Z,"111km ENE of Hasaki, Japan",earthquake
2014-04-08T14:41:40.700Z,-4.3245,150.3145,462.21,4.6,mb,,24,1.849,0.74,us,usc000pawa,2014-04-08T16:29:58.000Z,"136km N of Kimbe, Papua New Guinea",earthquake
2014-04-08T14:25:21.600Z,33.4803,-116.5507,29.5,1.5,Ml,11,118.8,0.04491576,0.45,ci,ci15487217,2014-04-08T14:28:15.081Z,"14km SE of Anza, California",earthquake
2014-04-08T14:12:09.000Z,61.9614,-150.5252,18.4,1.7,ml,,,,0.72,ak,ak11219758,2014-04-08T14:24:46.465Z,"35km NW of Willow, Alaska",earthquake
2014-04-08T14:07:25.500Z,37.5668,-119.5523,13.1,1.3,Md,,126,0.21559567,0.31,nc,nc72195905,2014-04-08T20:13:05.075Z,"19km S of Yosemite Valley, California",earthquake
2014-04-08T13:58:18.000Z,63.5356,-146.9666,33.3,0.8,ml,,,,0.94,ak,ak11219756,2014-04-08T18:42:23.404Z,"82km SW of Delta Junction, Alaska",earthquake
2014-04-08T13:40:33.400Z,38.7872,-122.8862,4.5,0.5,Md,,234,0.02694946,0.02,nc,nc72195870,2014-04-08T16:14:03.503Z,"11km E of Cloverdale, California",earthquake
2014-04-08T13:21:40.300Z,19.3832,-155.2722,2.4,2.6,Ml,,46.8,0.00898315,0.2,hv,hv60669466,2014-04-08T19:23:12.000Z,"6km SW of Volcano, Hawaii",earthquake
2014-04-08T13:19:45.870Z,-34.3951,-72.5222,21.29,4.6,mb,,146,0.783,0.72,us,usc000pavy,2014-04-08T16:08:24.000Z,"104km N of Constitucion, Chile",earthquake
2014-04-08T13:12:53.200Z,38.8125,-122.8238,2.5,0.6,Md,,115.2,0.00898315,0.02,nc,nc72195860,2014-04-08T15:35:09.336Z,"7km NW of The Geysers, California",earthquake
2014-04-08T13:06:40.300Z,33.1553,-116.4612,14.7,1.6,Ml,44,50.4,0.11678099,0.26,ci,ci15487201,2014-04-08T13:09:04.730Z,"13km SW of Borrego Springs, California",earthquake
2014-04-08T13:05:17.200Z,34.0245,-116.7388,13.9,1.6,Ml,41,100.8,0.05389892,0.16,ci,ci15487193,2014-04-08T13:08:09.708Z,"12km NNE of Cabazon, California",earthquake
2014-04-08T13:00:01.000Z,61.8089,-149.3201,17.5,1,ml,,,,0.85,ak,ak11219706,2014-04-08T13:16:06.804Z,"8km NNW of Fishhook, Alaska",earthquake
2014-04-08T12:46:58.100Z,34.0085,-116.8603,18,1.9,Ml,64,68.4,0.05389892,0.18,ci,ci15487185,2014-04-08T13:42:07.405Z,"9km N of Banning, California",earthquake
2014-04-08T12:41:21.340Z,47.0536,152.8519,79.63,4.5,mb,,109,6.814,0.6,us,usc000parr,2014-04-08T20:43:50.434Z,"Kuril Islands",earthquake
2014-04-08T12:38:47.000Z,62.7147,-149.7228,77.8,1.9,ml,,,,0.66,ak,ak11219666,2014-04-08T12:52:33.794Z,"47km NNE of Talkeetna, Alaska",earthquake
2014-04-08T12:35:14.500Z,38.8178,-122.823,3.7,0.5,Md,,82.8,0.00898315,0.02,nc,nc72195855,2014-04-08T13:03:07.893Z,"7km NW of The Geysers, California",earthquake
2014-04-08T12:32:21.900Z,44.7415,-110.761,8.3,2.4,Ml,,82.8,0.04491576,0.13,uu,uu60063952,2014-04-08T18:21:07.318Z,"28km ENE of West Yellowstone, Montana",earthquake
2014-04-08T12:27:40.800Z,38.803,-122.8262,4.5,0.6,Md,,172.8,0.01796631,0.05,nc,nc72195850,2014-04-08T15:08:06.459Z,"6km WNW of The Geysers, California",earthquake
2014-04-08T12:27:34.400Z,37.6762,-113.3022,5.8,2.1,Ml,,72,0.13474729,0.12,uu,uu60063947,2014-04-08T18:43:47.508Z,"21km W of Cedar City, Utah",earthquake
